1: 1211.464722, 1211.464722 avg, 0.000000 rate, 4.410127 seconds, 64 images
2: 1210.287964, 1211.347046 avg, 0.000000 rate, 4.507996 seconds, 128 images
3: 1211.259399, 1211.338257 avg, 0.000000 rate, 4.509609 seconds, 192 images
4: 1212.111816, 1211.415649 avg, 0.000000 rate, 4.513615 seconds, 256 images
5: 1211.709961, 1211.445068 avg, 0.000000 rate, 4.519285 seconds, 320 images
6: 1211.548584, 1211.455444 avg, 0.000000 rate, 4.519200 seconds, 384 images
7: 1212.540894, 1211.563965 avg, 0.000000 rate, 4.525788 seconds, 448 images
8: 1211.055176, 1211.513062 avg, 0.000000 rate, 4.524727 seconds, 512 images
9: 1211.864746, 1211.548218 avg, 0.000000 rate, 4.525877 seconds, 576 images
10: 1212.656006, 1211.659058 avg, 0.000000 rate, 4.529840 seconds, 640 images
11: 655.125305, 1156.005737 avg, 0.000000 rate, 2.647091 seconds, 704 images
12: 653.840698, 1105.789185 avg, 0.000000 rate, 2.729584 seconds, 768 images
13: 655.617981, 1060.772095 avg, 0.000000 rate, 2.726740 seconds, 832 images
14: 655.509827, 1020.245850 avg, 0.000000 rate, 2.722667 seconds, 896 images
15: 654.657776, 983.687073 avg, 0.000000 rate, 2.735054 seconds, 960 images
16: 653.650635, 950.683411 avg, 0.000000 rate, 2.728900 seconds, 1024 images
17: 654.760193, 921.091064 avg, 0.000000 rate, 2.729858 seconds, 1088 images
18: 655.722778, 894.554260 avg, 0.000000 rate, 2.725833 seconds, 1152 images
19: 655.083801, 870.607239 avg, 0.000000 rate, 2.729564 seconds, 1216 images
20: 655.486572, 849.095154 avg, 0.000000 rate, 2.732878 seconds, 1280 images
21: 1938.671387, 958.052795 avg, 0.000000 rate, 7.266201 seconds, 1344 images
22: 1939.683105, 1056.215820 avg, 0.000000 rate, 7.407683 seconds, 1408 images
23: 1938.881592, 1144.482422 avg, 0.000000 rate, 7.401585 seconds, 1472 images
24: 1937.563110, 1223.790527 avg, 0.000000 rate, 7.405901 seconds, 1536 images
25: 1936.675903, 1295.079102 avg, 0.000000 rate, 7.394365 seconds, 1600 images
26: 1937.829224, 1359.354126 avg, 0.000000 rate, 7.402429 seconds, 1664 images
27: 1937.073730, 1417.126099 avg, 0.000000 rate, 7.404293 seconds, 1728 images
28: 1933.694214, 1468.782959 avg, 0.000000 rate, 7.403022 seconds, 1792 images
29: 1934.583496, 1515.363037 avg, 0.000000 rate, 7.414250 seconds, 1856 images
30: 1934.392334, 1557.265991 avg, 0.000000 rate, 7.417099 seconds, 1920 images
31: 776.320007, 1479.171387 avg, 0.000000 rate, 2.942093 seconds, 1984 images
32: 776.530823, 1408.907349 avg, 0.000000 rate, 3.048451 seconds, 2048 images
33: 775.937683, 1345.610352 avg, 0.000000 rate, 3.043521 seconds, 2112 images
34: 775.254028, 1288.574707 avg, 0.000000 rate, 3.044926 seconds, 2176 images
35: 773.594666, 1237.076660 avg, 0.000000 rate, 3.046168 seconds, 2240 images
36: 774.723022, 1190.841309 avg, 0.000000 rate, 3.047868 seconds, 2304 images
37: 773.717896, 1149.128906 avg, 0.000000 rate, 3.048100 seconds, 2368 images
38: 775.040222, 1111.720093 avg, 0.000000 rate, 3.048628 seconds, 2432 images
39: 771.830566, 1077.731201 avg, 0.000000 rate, 3.048675 seconds, 2496 images
40: 772.421509, 1047.200195 avg, 0.000000 rate, 3.046891 seconds, 2560 images
41: 648.982971, 1007.378479 avg, 0.000000 rate, 2.652233 seconds, 2624 images
42: 648.850830, 971.525696 avg, 0.000000 rate, 2.738640 seconds, 2688 images
43: 647.253845, 939.098511 avg, 0.000000 rate, 2.745559 seconds, 2752 images
44: 648.000061, 909.988647 avg, 0.000000 rate, 2.744524 seconds, 2816 images
45: 648.111572, 883.800964 avg, 0.000000 rate, 2.739781 seconds, 2880 images
46: 646.622131, 860.083069 avg, 0.000000 rate, 2.744800 seconds, 2944 images
47: 646.871643, 838.761902 avg, 0.000000 rate, 2.742752 seconds, 3008 images
48: 645.630371, 819.448730 avg, 0.000000 rate, 2.738716 seconds, 3072 images
49: 644.550354, 801.958923 avg, 0.000000 rate, 2.746624 seconds, 3136 images
50: 644.755615, 786.238586 avg, 0.000000 rate, 2.745615 seconds, 3200 images
51: 1352.759888, 842.890747 avg, 0.000000 rate, 4.744684 seconds, 3264 images
52: 1347.111816, 893.312866 avg, 0.000000 rate, 4.906843 seconds, 3328 images
53: 1347.411865, 938.722778 avg, 0.000000 rate, 4.906542 seconds, 3392 images
54: 1341.839844, 979.034485 avg, 0.000000 rate, 4.912812 seconds, 3456 images
55: 1340.213379, 1015.152344 avg, 0.000000 rate, 4.915813 seconds, 3520 images
56: 1336.628174, 1047.299927 avg, 0.000000 rate, 4.917029 seconds, 3584 images
57: 1331.640625, 1075.734009 avg, 0.000000 rate, 4.911175 seconds, 3648 images
58: 1329.225464, 1101.083130 avg, 0.000000 rate, 4.915084 seconds, 3712 images
59: 1323.192749, 1123.294067 avg, 0.000000 rate, 4.915036 seconds, 3776 images
60: 1318.734131, 1142.838135 avg, 0.000000 rate, 4.912781 seconds, 3840 images
61: 515.468872, 1080.101196 avg, 0.000000 rate, 2.278358 seconds, 3904 images
62: 513.317505, 1023.422852 avg, 0.000000 rate, 2.355476 seconds, 3968 images
63: 511.616699, 972.242249 avg, 0.000000 rate, 2.354085 seconds, 4032 images
